Date,Max W Temp (C),Min W Temp (C),Avg W Temp (C)
12/17/2017,6.382,4.037,5.064201389
12/18/2017,6.026,2.956,4.239166667
12/19/2017,6.281,3.036,4.428770833
12/20/2017,6.687,3.827,5.027319444
12/21/2017,5.411,3.116,4.230729167
12/22/2017,4.272,1.371,2.679965278
12/23/2017,6.128,2.61,4.019486111
12/24/2017,6.687,3.617,4.865986111
12/25/2017,6.839,4.895,5.724840278
12/26/2017,6.661,3.932,5.057979167
12/27/2017,6.382,3.195,4.641020833
12/28/2017,6.357,3.195,4.553194444
12/29/2017,6.331,3.063,4.487652778
12/30/2017,6.382,3.433,4.733673611
12/31/2017,6.179,3.538,4.760298611
1/1/2018,6.179,3.116,4.513284722
1/2/2018,6.23,3.564,4.750319444
1/3/2018,5.949,3.036,4.471118056
1/4/2018,6.281,3.036,4.420819444
1/5/2018,7.72,4.011,5.567375
1/6/2018,7.895,5.411,6.506430556
1/7/2018,8.27,5.411,6.672784722
1/8/2018,6.889,4.74,5.779847222
1/9/2018,7.041,6.611,6.832618056
1/10/2018,6.712,6.128,6.357319444
1/11/2018,7.995,5.179,6.385673611
1/12/2018,8.195,4.999,6.474763889
1/13/2018,7.569,4.115,5.8306875
1/14/2018,8.07,4.532,5.983215278
1/15/2018,8.519,5.05,6.470173611
1/16/2018,8.195,5.076,6.496625
1/17/2018,8.543,5.024,6.559305556
1/18/2018,8.27,4.999,6.473611111
1/19/2018,8.792,5.282,6.838506944
1/20/2018,7.72,5.565,7.073944444
1/21/2018,6.382,3.722,4.899006944
1/22/2018,5.179,1.724,3.41075
1/23/2018,6.331,2.637,4.302638889
1/24/2018,6.737,2.664,4.549166667
1/25/2018,6.331,3.38,4.742333333
1/26/2018,6.585,4.063,5.345770833
1/27/2018,6.102,2.45,4.342055556
1/28/2018,8.02,4.194,5.831652778
1/29/2018,8.27,4.558,6.348243056
1/30/2018,8.618,4.74,6.576097222
1/31/2018,8.668,4.714,6.619090278
2/1/2018,8.12,5.154,6.671513889
2/2/2018,9.829,5.539,7.443666667
2/3/2018,10.026,5.924,7.922569444
2/4/2018,10.026,5.872,7.940756944
2/5/2018,10.149,6.051,8.051097222
2/6/2018,10.051,6.535,8.148361111
2/7/2018,9.139,4.688,6.851763889
2/8/2018,9.879,5.282,7.454895833
2/9/2018,10.222,5.693,7.919513889
2/10/2018,9.361,6.331,7.536548611
2/11/2018,8.045,3.591,5.823604167
2/12/2018,7.343,5.616,6.169847222
2/13/2018,9.361,5.975,7.502222222
2/14/2018,9.163,7.393,8.260222222
2/15/2018,11.127,7.645,8.914875
2/16/2018,8.245,4.063,6.275888889
2/17/2018,9.287,4.428,6.664590278
2/18/2018,9.361,4.869,7.048041667
2/19/2018,8.22,4.35,5.857013889
2/20/2018,6.611,2.477,4.291486111
2/21/2018,4.844,1.48,3.282680556
2/22/2018,4.895,2.956,3.979569444
2/23/2018,6.509,4.063,5.053458333
2/24/2018,5.462,1.94,3.992027778
2/25/2018,8.145,3.116,5.412138889
2/26/2018,8.07,2.477,5.203118056
2/27/2018,7.192,3.591,5.544638889
2/28/2018,9.213,4.22,6.490868056
3/1/2018,8.394,4.766,6.541173611
3/2/2018,10.1,4.48,7.056083333
3/3/2018,9.41,5.102,7.3095625
3/4/2018,8.866,5.539,7.283340278
3/5/2018,8.618,2.53,5.611756944
3/6/2018,8.916,3.142,5.898090278
3/7/2018,7.77,4.168,6.001131944
3/8/2018,10.565,5.05,7.592930556
3/9/2018,11.467,5.36,8.253694444
3/10/2018,10.345,5.668,8.137166667
3/11/2018,12.558,8.742,10.21459722
3/12/2018,13.762,7.242,10.11981944
3/13/2018,13.377,7.97,10.60651389
3/14/2018,12.098,9.336,10.71452083
3/15/2018,10.418,6.306,7.797625
3/16/2018,10.149,4.895,7.197652778
3/17/2018,8.866,6.484,7.76475
3/18/2018,11.419,5.257,7.869298611
3/19/2018,11.734,5.076,7.924972222
3/20/2018,11.175,5.488,8.266
3/21/2018,13.834,7.343,10.34648611
3/22/2018,12.775,8.99,10.40245139
3/23/2018,10.32,6.914,7.992569444
3/24/2018,10.467,6.788,8.220548611
3/25/2018,11.807,6.585,8.508736111
3/26/2018,12.509,6.051,8.561055556
3/27/2018,12.413,5.179,8.348034722
3/28/2018,14.002,6.585,9.80875
3/29/2018,14.314,7.066,10.48240972
3/30/2018,14.697,7.293,10.8769375
3/31/2018,14.768,8.12,11.42835417
4/1/2018,15.438,9.04,12.039375
4/2/2018,14.17,8.419,11.45368056
4/3/2018,15.127,8.494,11.62294444
4/4/2018,12.678,6.839,9.793243056
4/5/2018,15.055,8.07,11.32697222
4/6/2018,16.558,10.149,13.22688194
4/7/2018,18.057,11.832,14.67716667
4/8/2018,16.129,11.589,14.03680556
4/9/2018,16.63,9.04,12.26425694
4/10/2018,15.939,8.593,11.98765972
4/11/2018,17.415,9.706,13.16980556
4/12/2018,15.342,10.614,12.65816667
4/13/2018,13.882,7.142,10.22304167
4/14/2018,15.366,6.712,10.61416667
4/15/2018,14.194,8.245,11.21922917
4/16/2018,16.01,9.632,12.55358333
4/17/2018,15.247,8.543,11.62486806
4/18/2018,15.079,7.015,10.848125
4/19/2018,13.161,9.04,10.544
4/20/2018,13.642,8.27,10.64083333
4/21/2018,17.034,8.469,12.30883333
4/22/2018,17.225,9.534,13.23009028
4/23/2018,18.438,9.805,13.93027083
4/24/2018,18.937,10.761,14.68056944
4/25/2018,19.08,11.321,15.17754167
4/26/2018,19.77,11.321,15.508
4/27/2018,19.722,11.977,15.98968056
4/28/2018,19.151,12.968,16.18154861
4/29/2018,17.724,11.807,14.72984028
4/30/2018,16.463,11.492,14.28097222
5/1/2018,15.223,11.516,13.48966667
5/2/2018,13.618,11.273,12.25857639
5/3/2018,18.747,9.952,13.77340278
5/4/2018,19.365,10.173,14.61374306
5/5/2018,20.055,11.321,15.69579861
5/6/2018,17.962,12.34,15.38063889
5/7/2018,18.961,12.534,15.68692361
5/8/2018,21.056,12.001,16.59035417
5/9/2018,21.079,13.425,17.63148611
5/10/2018,20.436,13.594,17.41309028
5/11/2018,20.031,13.738,17.02981944
5/12/2018,19.627,13.401,16.23280556
5/13/2018,16.987,11.127,14.6238125
5/14/2018,19.318,11.904,15.69839583
5/15/2018,20.436,12.316,16.59689583
5/16/2018,20.031,11.783,16.25719444
5/17/2018,19.817,12.147,16.33802083
5/18/2018,19.651,11.929,16.20695139
5/19/2018,20.865,13.497,17.53613889
5/20/2018,20.126,14.098,17.66998611
5/21/2018,18.414,13.305,15.54684722
5/22/2018,20.055,13.161,16.46546528
5/23/2018,21.151,13.353,17.61315278
5/24/2018,21.676,13.305,17.87217361
5/25/2018,21.246,13.473,17.83039583
5/26/2018,20.269,13.257,17.20791667
5/27/2018,20.222,12.871,16.99811111
5/28/2018,19.746,13.425,16.85135417
5/29/2018,22.298,13.858,18.23453472
5/30/2018,22.058,14.984,18.88654861
5/31/2018,21.246,14.84,18.36766667
6/1/2018,22.154,14.481,18.50647917
6/2/2018,22.944,14.792,19.08204861
6/3/2018,23.112,15.366,19.59157639
6/4/2018,23.424,14.721,19.49409028
6/5/2018,22.681,15.127,19.52272917
6/6/2018,23.064,15.342,19.63389583
6/7/2018,22.992,15.27,19.63809028
6/8/2018,23.232,14.936,19.60658333
6/9/2018,22.609,14.768,19.15590278
6/10/2018,22.896,15.963,19.53665972
6/11/2018,23.256,14.96,19.59315278
6/12/2018,23.713,15.342,20.00702083
6/13/2018,23.088,15.605,19.98350694
6/14/2018,23.28,15.652,19.83213889
6/15/2018,21.079,16.392,19.17685417
6/16/2018,20.841,17.32,19.36382639
6/17/2018,22.872,17.225,19.8158125
6/18/2018,23.424,15.915,19.73152083
6/19/2018,22.92,14.816,19.39214583
6/20/2018,24.05,15.652,20.24636806
6/21/2018,24.412,16.225,20.669125
6/22/2018,24.46,16.749,21.01705556
6/23/2018,23.713,16.225,20.39298611
6/24/2018,24.605,17.582,21.35909028
6/25/2018,24.363,16.201,20.70866667
6/26/2018,24.944,16.82,21.32328472
6/27/2018,24.508,16.915,21.28040972
6/28/2018,22.896,16.201,19.97190278
6/29/2018,23.232,15.843,19.81974306
6/30/2018,23.545,16.225,20.32905556
7/1/2018,23.93,17.011,20.88956944
7/2/2018,24.436,16.892,20.96728472
7/3/2018,23.809,17.082,20.89536111
7/4/2018,23.761,16.606,20.62878472
7/5/2018,24.484,16.82,20.99798611
7/6/2018,24.508,18.533,22.03921528
7/7/2018,26.378,19.793,23.07252083
7/8/2018,26.842,19.651,23.39591667
7/9/2018,26.353,21.294,23.94509722
7/10/2018,27.136,20.484,23.80422222
7/11/2018,26.671,18.366,22.91808333
7/12/2018,25.55,19.627,21.47438194
7/13/2018,23.184,20.722,21.73445139
7/14/2018,23.112,21.27,21.95213889
7/15/2018,22.872,19.77,21.017375
7/16/2018,23.665,20.365,21.8560625
7/17/2018,24.098,20.889,22.46202778
7/18/2018,24.315,20.436,22.21404861
7/19/2018,23.978,21.127,22.67997222
7/20/2018,24.484,20.96,22.54918056
7/21/2018,24.074,21.032,22.31892361
7/22/2018,24.75,20.865,22.59054167
7/23/2018,25.065,20.889,23.03055556
7/24/2018,24.508,20.627,22.58615972
7/25/2018,24.46,20.627,22.58409028
7/26/2018,24.726,20.555,22.66672222
7/27/2018,24.581,20.222,22.50242361
7/28/2018,24.267,20.412,22.47509722
7/29/2018,24.605,20.746,22.66136111
7/30/2018,23.545,20.77,22.23772222
7/31/2018,23.641,20.15,21.82413194
8/1/2018,24.122,20.865,22.55095833
8/2/2018,23.833,20.889,22.51461111
8/3/2018,23.905,20.841,22.41353472
8/4/2018,23.665,20.722,22.28686806
8/5/2018,23.785,20.507,22.26794444
8/6/2018,23.112,18.723,21.06122222
8/7/2018,22.681,18.414,20.70736111
8/8/2018,22.896,18.604,20.85030556
8/9/2018,23.376,19.199,21.37679861
8/10/2018,23.28,20.055,21.862125
8/11/2018,23.112,20.77,22.11972222
8/12/2018,23.088,19.579,21.33815278
8/13/2018,23.232,19.96,21.72108333
8/14/2018,23.184,20.365,21.88413194
8/15/2018,23.304,20.793,22.11567361
8/16/2018,22.681,20.698,21.61995833
8/17/2018,23.328,20.341,21.79138194
8/18/2018,23.737,20.65,22.18576389
8/19/2018,23.448,19.674,21.56258333
8/20/2018,22.633,19.555,20.95894444
8/21/2018,21.795,20.793,21.18076389
8/22/2018,21.056,18.771,19.70080556
8/23/2018,22.154,18.771,20.14940278
8/24/2018,22.13,18.509,20.12234722
8/25/2018,22.441,18.913,20.66893056
8/26/2018,22.178,19.103,20.81596528
8/27/2018,21.581,18.818,20.33851389
8/28/2018,20.817,17.106,19.11994444
8/29/2018,20.936,16.892,18.92634722
8/30/2018,20.77,17.51,19.13315278
8/31/2018,21.079,17.486,19.26982639
9/1/2018,20.722,17.058,19.0918125
9/2/2018,21.103,17.534,19.29015972
9/3/2018,20.722,17.415,19.211875
9/4/2018,20.96,17.962,19.42216667
9/5/2018,20.889,18.39,19.839
9/6/2018,20.746,17.177,18.96876389
9/7/2018,21.175,17.463,19.34308333
9/8/2018,21.175,17.582,19.45330556
9/9/2018,20.984,17.249,19.15996528
9/10/2018,20.793,16.796,18.93336806
9/11/2018,22.321,14.529,19.17029167
9/12/2018,20.817,13.329,16.93381944
9/13/2018,20.365,13.642,16.41563194
